Question,Answer,Difficulty,Subject_id
0 + 0,0,0,1
1 + 0,1,0,1
2 + 0,2,0,1
3 + 0,3,0,1
4 + 0,4,0,1
5 + 0,5,0,1
6 + 0,6,0,1
7 + 0,7,0,1
8 + 0,8,0,1
9 + 0,9,0,1
10 + 0,10,1,1
0 + 1,1,0,1
1 + 1,2,0,1
2 + 1,3,0,1
3 + 1,4,0,1
4 + 1,5,0,1
5 + 1,6,0,1
6 + 1,7,0,1
7 + 1,8,0,1
8 + 1,9,0,1
9 + 1,10,1,1
10 + 1,11,1,1
0 + 2,2,0,1
1 + 2,3,0,1
2 + 2,4,0,1
3 + 2,5,0,1
4 + 2,6,0,1
5 + 2,7,0,1
6 + 2,8,0,1
7 + 2,9,0,1
8 + 2,10,1,1
9 + 2,11,1,1
10 + 2,12,1,1
0 + 3,3,0,1
1 + 3,4,0,1
2 + 3,5,0,1
3 + 3,6,0,1
4 + 3,7,0,1
5 + 3,8,0,1
6 + 3,9,0,1
7 + 3,10,1,1
8 + 3,11,1,1
9 + 3,12,1,1
10 + 3,13,1,1
0 + 4,4,0,1
1 + 4,5,0,1
2 + 4,6,0,1
3 + 4,7,0,1
4 + 4,8,0,1
5 + 4,9,0,1
6 + 4,10,1,1
7 + 4,11,1,1
8 + 4,12,1,1
9 + 4,13,1,1
10 + 4,14,1,1
0 + 5,5,0,1
1 + 5,6,0,1
2 + 5,7,0,1
3 + 5,8,0,1
4 + 5,9,0,1
5 + 5,10,1,1
6 + 5,11,1,1
7 + 5,12,1,1
8 + 5,13,1,1
9 + 5,14,1,1
10 + 5,15,1,1
0 + 6,6,0,1
1 + 6,7,0,1
2 + 6,8,0,1
3 + 6,9,0,1
4 + 6,10,1,1
5 + 6,11,1,1
6 + 6,12,1,1
7 + 6,13,1,1
8 + 6,14,1,1
9 + 6,15,1,1
10 + 6,16,1,1
0 + 7,7,0,1
1 + 7,8,0,1
2 + 7,9,0,1
3 + 7,10,1,1
4 + 7,11,1,1
5 + 7,12,1,1
6 + 7,13,1,1
7 + 7,14,1,1
8 + 7,15,1,1
9 + 7,16,1,1
10 + 7,17,1,1
0 + 8,8,0,1
1 + 8,9,0,1
2 + 8,10,1,1
3 + 8,11,1,1
4 + 8,12,1,1
5 + 8,13,1,1
6 + 8,14,1,1
7 + 8,15,1,1
8 + 8,16,1,1
9 + 8,17,1,1
10 + 8,18,1,1
0 + 9,9,0,1
1 + 9,10,1,1
2 + 9,11,1,1
3 + 9,12,1,1
4 + 9,13,1,1
5 + 9,14,1,1
6 + 9,15,1,1
7 + 9,16,1,1
8 + 9,17,1,1
9 + 9,18,1,1
10 + 9,19,1,1
0 + 10,10,1,1
1 + 10,11,1,1
2 + 10,12,1,1
3 + 10,13,1,1
4 + 10,14,1,1
5 + 10,15,1,1
6 + 10,16,1,1
7 + 10,17,1,1
8 + 10,18,1,1
9 + 10,19,1,1
10 + 10,20,1,1
0 x 0,0,2,3
1 x 0,0,2,3
2 x 0,0,2,3
3 x 0,0,2,3
4 x 0,0,2,3
5 x 0,0,2,3
6 x 0,0,2,3
7 x 0,0,2,3
8 x 0,0,2,3
9 x 0,0,2,3
10 x 0,0,2,3
0 x 1,0,2,3
1 x 1,1,2,3
2 x 1,2,2,3
3 x 1,3,2,3
4 x 1,4,2,3
5 x 1,5,2,3
6 x 1,6,2,3
7 x 1,7,2,3
8 x 1,8,2,3
9 x 1,9,2,3
10 x 1,10,2,3
0 x 2,0,2,3
1 x 2,2,3,3
2 x 2,4,3,3
3 x 2,6,3,3
4 x 2,8,3,3
5 x 2,10,3,3
6 x 2,12,3,3
7 x 2,14,3,3
8 x 2,16,3,3
9 x 2,18,3,3
10 x 2,20,4,3
0 x 3,0,3,3
1 x 3,3,3,3
2 x 3,6,3,3
3 x 3,9,3,3
4 x 3,12,3,3
5 x 3,15,3,3
6 x 3,18,3,3
7 x 3,21,4,3
8 x 3,24,4,3
9 x 3,27,4,3
10 x 3,30,4,3
0 x 4,0,3,3
1 x 4,4,3,3
2 x 4,8,3,3
3 x 4,12,3,3
4 x 4,16,3,3
5 x 4,20,4,3
6 x 4,24,4,3
7 x 4,28,4,3
8 x 4,32,4,3
9 x 4,36,4,3
10 x 4,40,4,3
0 x 5,0,3,3
1 x 5,5,3,3
2 x 5,10,3,3
3 x 5,15,3,3
4 x 5,20,4,3
5 x 5,25,4,3
6 x 5,30,4,3
7 x 5,35,4,3
8 x 5,40,4,3
9 x 5,45,4,3
10 x 5,50,4,3
0 x 6,0,3,3
1 x 6,6,3,3
2 x 6,12,3,3
3 x 6,18,3,3
4 x 6,24,4,3
5 x 6,30,4,3
6 x 6,36,4,3
7 x 6,42,4,3
8 x 6,48,4,3
9 x 6,54,4,3
10 x 6,60,4,3
0 x 7,0,3,3
1 x 7,7,3,3
2 x 7,14,3,3
3 x 7,21,4,3
4 x 7,28,4,3
5 x 7,35,4,3
6 x 7,42,4,3
7 x 7,49,4,3
8 x 7,56,4,3
9 x 7,63,4,3
10 x 7,70,4,3
0 x 8,0,3,3
1 x 8,8,3,3
2 x 8,16,3,3
3 x 8,24,4,3
4 x 8,32,4,3
5 x 8,40,4,3
6 x 8,48,4,3
7 x 8,56,4,3
8 x 8,64,4,3
9 x 8,72,4,3
10 x 8,80,4,3
0 x 9,0,3,3
1 x 9,9,3,3
2 x 9,18,3,3
3 x 9,27,4,3
4 x 9,36,4,3
5 x 9,45,4,3
6 x 9,54,4,3
7 x 9,63,4,3
8 x 9,72,4,3
9 x 9,81,4,3
10 x 9,90,4,3
0 x 10,0,3,3
1 x 10,10,3,3
2 x 10,20,4,3
3 x 10,30,4,3
4 x 10,40,4,3
5 x 10,50,4,3
6 x 10,60,4,3
7 x 10,70,4,3
8 x 10,80,4,3
9 x 10,90,4,3
10 x 10,100,4,3
